lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg4,lr-AdamW/pg5,lr-AdamW/pg6,step,micro@P,micro@R,micro@F1,macro@P,macro@R,macro@F1,MD@R,MD@P,MD@F1,ALLTRUE,ALLRECALLED,ALLPRED,loss,epoch,val_micro@P,val_micro@R,val_micro@F1,val_macro@P,val_macro@R,val_macro@F1,val_MD@R,val_MD@P,val_MD@F1,val_ALLTRUE,val_ALLRECALLED,val_ALLPRED,val_loss
,,,,,,74,,,,,,,,,,,,,,,0.9819441437721252,0.9836196303367615,0.982781171798706,0.967590868473053,0.9575162529945374,0.9624374508857727,0.9860084056854248,0.9843288660049438,0.985167920589447,8791.0,8668.0,8806.0,2.6853208541870117
,,,,,,75,,,,,,,,,,,,,,,0.9811767339706421,0.982949435710907,0.9820622801780701,0.9671697616577148,0.9570817947387695,0.9620110392570496,0.9853206872940063,0.9835437536239624,0.9844313859939575,8856.0,8726.0,8872.0,11.923983573913574
,,,,,,76,,,,,,,,,,,,,,,0.9807971715927124,0.9828820824623108,0.9818385243415833,0.9669811725616455,0.957275927066803,0.9620157480239868,0.9852315783500671,0.9831416606903076,0.984185516834259,8938.0,8806.0,8957.0,4.295038223266602
,,,,,,77,,,,,,,,,,,,,,,0.980303168296814,0.9822596907615662,0.9812804460525513,0.9665960669517517,0.9570404291152954,0.9617062211036682,0.9846989512443542,0.98273766040802,0.9837173223495483,9019.0,8881.0,9037.0,3.271242618560791
,,,,,,78,,,,,,,,,,,,,,,0.9796591401100159,0.9817100167274475,0.9806835055351257,0.9660334587097168,0.9565700888633728,0.9611895084381104,0.984244167804718,0.9821879863739014,0.9832150340080261,9076.0,8933.0,9095.0,7.727823734283447
,,,,,,79,,,,,,,,,,,,,,,0.9790644645690918,0.9813115000724792,0.9801867008209229,0.9656575322151184,0.9562299251556396,0.9608315825462341,0.983825147151947,0.9815723299980164,0.9826974272727966,9150.0,9002.0,9171.0,7.9812912940979
,,,,,,80,,,,,,,,,,,,,,,0.9780682921409607,0.9802923798561096,0.9791790843009949,0.9604415893554688,0.9555697441101074,0.9579702019691467,0.9834325909614563,0.9812014102935791,0.982315719127655,9235.0,9082.0,9256.0,10.464425086975098
,,,,,,81,,,,,,,,,,,,,,,0.9776967763900757,0.980008602142334,0.978851318359375,0.9601209759712219,0.9538678526878357,0.9569398164749146,0.9831255078315735,0.9808063507080078,0.9819645881652832,9304.0,9147.0,9326.0,5.836877346038818
,,,,,,82,,,,,,,,,,,,,,,0.9770066142082214,0.9794045686721802,0.9782041311264038,0.9599283933639526,0.9539704322814941,0.9568967223167419,0.9824991822242737,0.9800936579704285,0.9812949895858765,9371.0,9207.0,9394.0,7.050397872924805
,,,,,,83,,,,,,,,,,,,,,,0.9769434332847595,0.9790143370628357,0.9779777526855469,0.9599391222000122,0.9537421464920044,0.9567888379096985,0.9820879697799683,0.9800105690956116,0.9810481667518616,9435.0,9266.0,9455.0,3.41867733001709
,,,,,,84,,,,,,,,,,,,,,,0.9764878749847412,0.9786450862884521,0.9775652885437012,0.9597207307815552,0.9537889957427979,0.956703782081604,0.9819061756134033,0.9797418117523193,0.9808228015899658,9506.0,9334.0,9527.0,7.80937385559082
,,,,,,85,,,,,,,,,,,,,,,0.9760291576385498,0.977965772151947,0.9769964814186096,0.9594683051109314,0.9518959522247314,0.9556106328964233,0.9813074469566345,0.979364275932312,0.9803348779678345,9576.0,9397.0,9595.0,6.163143157958984
,,,,,,86,,,,,,,,,,,,,,,0.9751629829406738,0.9763755202293396,0.9757688641548157,0.9587964415550232,0.9507368803024292,0.9546964168548584,0.9797948598861694,0.9785780906677246,0.9791860580444336,9651.0,9456.0,9663.0,11.47355842590332
